                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.95081,                 2.1921,                0.92243,                 1.0724,                0.84655,                0.76291,                0.83849,                0.66787,                0.80928,                0.74035,                0.79967,                  0.544,                0.85404,                 1.9128,                0.66127,                0.98414,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.92154,                 2.1579,                0.84474,                 1.0373,                0.86466,                0.76681,                0.84623,                0.66968,                0.83612,                0.73231,                0.80514,                0.55011,                0.85087,                 1.9031,                0.65656,                0.98219,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.91444,                 2.0863,                0.88843,                 1.0553,                 0.8676,                0.76143,                0.84642,                0.67535,                0.83633,                0.73866,                0.80674,                0.54873,                0.84528,                 1.8958,                0.65228,                0.98098,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.91555,                  2.142,                 0.8553,                 1.0575,                0.85325,                0.78101,                0.84967,                0.68025,                0.82332,                0.75049,                0.80793,                0.55107,                0.84324,                 1.8909,                0.65015,                0.98063,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91539,                  2.002,                0.85105,                 1.0581,                0.85809,                0.77875,                0.85328,                 0.6839,                0.83368,                0.75157,                0.81213,                0.55077,                0.83981,                 1.8837,                0.64607,                 0.9787,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.87239,                 2.0079,                0.84877,                 1.0359,                0.86729,                 0.7832,                 0.8572,                 0.6862,                0.83816,                0.75158,                0.80919,                0.55374,                 0.8361,                 1.8725,                0.64094,                0.97726,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92861,                 2.0893,                0.81861,                 1.0467,                0.86677,                0.78437,                0.85914,                 0.6897,                0.84508,                0.75032,                0.81335,                0.55192,                0.83258,                 1.8677,                0.63644,                0.97389,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.91053,                 2.0995,                 0.8431,                  1.039,                0.85624,                0.79008,                0.86145,                0.69235,                 0.8252,                0.75748,                0.81174,                0.55452,                0.82905,                   1.86,                0.63282,                0.97152,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.87612,                 2.0505,                0.81114,                 1.0233,                0.86044,                0.78784,                0.86203,                0.69389,                0.82608,                 0.7598,                0.81528,                0.55446,                 0.8272,                 1.8515,                0.63067,                0.96959,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.85007,                 1.9842,                0.79155,                 1.0189,                0.88728,                0.77109,                0.86293,                0.69299,                0.85214,                 0.7463,                0.81469,                0.55484,                0.82398,                 1.8478,                0.62873,                0.96759,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92663,                 2.0752,                0.84744,                 1.0276,                 0.9094,                0.76468,                0.87093,                0.69225,                0.87594,                0.74336,                0.81831,                0.55649,                0.82217,                 1.8438,                0.62291,                0.96553,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.87532,                 2.0579,                0.82978,                 1.0425,                0.91897,                0.75627,                0.87073,                0.69532,                0.88733,                0.73245,                0.81941,                0.55644,                0.82157,                 1.8441,                0.61643,                0.96578,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91057,                 2.0481,                0.78795,                 1.0201,                0.86922,                0.79223,                0.87903,                0.69876,                0.83708,                0.76314,                0.82031,                0.55927,                0.81489,                 1.8375,                0.60653,                0.96306,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 0.8782,                 1.9956,                0.79555,                  1.034,                0.90278,                0.77038,                0.87791,                0.70396,                0.87931,                0.73951,                0.82108,                0.55982,                 0.8086,                 1.8316,                0.60151,                0.95899,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.89862,                 1.9957,                0.79773,                 1.0408,                0.90309,                0.76998,                0.87866,                0.70727,                 0.8858,                0.73532,                 0.8216,                0.56204,                0.80385,                 1.8292,                0.59951,                0.95624,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.88822,                  2.052,                0.81425,                 1.0291,                0.88882,                0.78704,                0.87943,                0.70825,                0.86538,                0.74994,                0.82277,                0.56518,                0.80164,                 1.8277,                0.59815,                0.95472,             6.4807e-05,             6.4807e-05,             6.4807e-05
