epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,19.6054,0.50733,1.1406,0.93611,0.97393,0.21569,0.69839,0.6412,0.38079,2.5251,0.86168,0.000429793,0.000429793,0.000429793
66,19.9369,0.46682,1.15544,0.89319,0.98602,0.31333,0.68394,0.63256,0.37006,2.4487,0.85502,0.000435519,0.000435519,0.000435519
67,20.2204,0.47198,1.08764,0.95384,0.99836,0.21364,0.64245,0.59478,0.38525,2.4709,0.85992,0.000441215,0.000441215,0.000441215
68,20.4994,0.41223,0.93431,0.92223,0.53734,0.51998,0.64599,0.59689,0.3898,2.48919,0.86124,0.00044688,0.00044688,0.00044688
69,20.7862,0.55363,1.04348,1.01475,0.05136,1,0.67143,0.62814,0.37201,2.53661,0.85302,0.000452514,0.000452514,0.000452514
70,21.0758,0.48884,0.99543,0.90426,0.04882,1,0.71897,0.67176,0.36997,2.56231,0.84614,0.000458118,0.000458118,0.000458118
71,21.3543,0.53543,0.99281,0.93606,0.61056,0.77778,0.77888,0.72544,0.3806,2.49375,0.84707,0.000463692,0.000463692,0.000463692
72,21.6888,0.46357,0.88658,0.93521,0.90925,0.27522,0.73352,0.68016,0.38298,2.46212,0.84761,0.000469235,0.000469235,0.000469235
73,21.9705,0.38626,1.03725,0.92832,0.90617,0.32472,0.72884,0.67072,0.405,2.38343,0.85057,0.000474747,0.000474747,0.000474747
74,22.26,0.46231,0.91663,0.89909,0.91019,0.42104,0.74415,0.66787,0.44683,2.29287,0.8627,0.00048023,0.00048023,0.00048023
75,22.534,0.52107,1.15514,0.99581,0.8988,0.38159,0.78264,0.71059,0.45747,2.22928,0.86192,0.000485681,0.000485681,0.000485681
76,22.8145,0.49528,0.92748,0.95256,0.88653,0.43642,0.7644,0.7003,0.41603,2.15944,0.84342,0.000491103,0.000491103,0.000491103
77,23.1487,0.38846,0.88252,0.9118,0.88061,0.49971,0.75316,0.70228,0.39353,2.15087,0.83735,0.000496493,0.000496493,0.000496493
78,23.4247,0.42638,0.85861,0.95535,0.82322,0.48061,0.75553,0.71831,0.37647,2.14112,0.82711,0.000501854,0.000501854,0.000501854
79,23.7247,0.46691,0.88336,0.90432,0.81155,0.45267,0.72658,0.68437,0.37735,2.17347,0.82872,0.000507184,0.000507184,0.000507184
80,24.0654,0.52786,0.93194,0.8853,0.78708,0.42744,0.71393,0.652,0.42225,2.18167,0.84992,0.000512483,0.000512483,0.000512483
81,24.3469,0.40908,0.8746,0.89501,0.77722,0.33863,0.68431,0.62624,0.47696,2.2475,0.87769,0.000517752,0.000517752,0.000517752
82,24.6254,0.48308,0.91017,0.90807,0.86715,0.33127,0.65366,0.60145,0.48771,2.34187,0.88639,0.000522991,0.000522991,0.000522991
83,24.8954,0.50786,0.80278,0.93846,0.89479,0.37097,0.69877,0.63974,0.42786,2.32139,0.85733,0.000528199,0.000528199,0.000528199
84,25.1697,0.52067,0.88994,0.93017,0.90145,0.39943,0.76135,0.70487,0.42079,2.23148,0.84203,0.000533377,0.000533377,0.000533377
85,25.4387,0.45533,0.85972,0.92012,0.90691,0.50967,0.85434,0.78209,0.4312,2.06355,0.8472,0.000538524,0.000538524,0.000538524
86,25.7222,0.50202,0.84924,0.88563,0.87239,0.58941,0.93578,0.86066,0.41652,1.90941,0.8417,0.000543641,0.000543641,0.000543641
