epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,24.7761,0.48271,2.57483,0.89385,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000470301,0.000470301,0.000470301
87,25.0617,0.45445,2.56432,0.96468,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000473652,0.000473652,0.000473652
88,25.3767,0.40216,2.49843,0.90603,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000476951,0.000476951,0.000476951
89,25.6472,0.43129,2.56845,0.8988,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000480201,0.000480201,0.000480201
90,25.9103,0.49501,2.7239,0.85217,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000483399,0.000483399,0.000483399
91,26.1823,0.43156,2.43373,0.88032,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000486546,0.000486546,0.000486546
92,26.4434,0.50995,2.70684,0.88936,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000489643,0.000489643,0.000489643
93,26.7064,0.37697,2.62462,0.88395,0.04272,1,0.65496,0.62832,0.32237,2.69154,0.8092,0.000492689,0.000492689,0.000492689
94,27.0375,0.51401,2.62885,0.91789,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000495684,0.000495684,0.000495684
95,27.3995,0.44538,2.4567,0.91203,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000498629,0.000498629,0.000498629
96,27.7171,0.42083,2.51448,0.8933,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000501523,0.000501523,0.000501523
97,27.9771,0.38199,2.65245,0.88365,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000504366,0.000504366,0.000504366
98,28.2381,0.44614,2.53596,0.86951,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000507158,0.000507158,0.000507158
99,28.5017,0.43361,2.44015,0.89364,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000509899,0.000509899,0.000509899
100,28.7772,0.4206,2.43196,0.94183,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.00051259,0.00051259,0.00051259
101,29.0418,0.43312,2.3638,0.9291,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.00051523,0.00051523,0.00051523
102,29.3528,0.47063,2.48707,0.90304,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000512692,0.000512692,0.000512692
103,29.6074,0.37942,2.47895,0.88125,0.80274,0.31481,0.66893,0.64092,0.30676,2.4952,0.8012,0.000510155,0.000510155,0.000510155
