                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.81774,                 1.8353,                0.71449,                 1.0015,                0.89123,                0.83855,                0.89831,                0.72925,                0.85474,                0.78707,                0.84961,                0.59275,                 0.7378,                 1.6937,                 0.5527,                0.92636,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     69,                0.87501,                 1.9673,                0.75961,                 1.0116,                0.90017,                0.81752,                0.88711,                 0.7271,                0.87466,                0.78723,                 0.8532,                0.59711,                 0.7412,                 1.6874,                0.54861,                0.92612,             9.2689e-05,             9.2689e-05,             9.2689e-05
                     70,                0.79367,                 1.8497,                0.68931,                0.98519,                0.90062,                0.82568,                0.89262,                0.73207,                0.87407,                0.78488,                0.85337,                0.59506,                0.73625,                 1.6858,                0.54751,                0.92612,             9.2296e-05,             9.2296e-05,             9.2296e-05
                     71,                0.84438,                 1.9096,                0.70748,                0.99403,                0.90623,                0.83026,                0.89915,                0.73667,                0.88041,                0.80366,                0.86228,                0.60017,                0.73365,                 1.6826,                0.54593,                0.92567,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     72,                0.80817,                 1.8653,                0.69947,                  0.977,                0.90639,                0.83314,                0.89916,                 0.7373,                0.87947,                 0.7997,                0.85927,                0.60186,                0.73312,                 1.6681,                 0.5418,                0.92428,             9.1511e-05,             9.1511e-05,             9.1511e-05
                     73,                0.78654,                 1.7932,                0.69504,                0.98719,                0.90549,                0.83288,                0.89625,                0.73433,                0.87536,                0.80358,                0.85725,                0.59824,                0.72814,                 1.6671,                0.53619,                0.92133,             9.1118e-05,             9.1118e-05,             9.1118e-05
                     74,                 0.7789,                 1.7544,                0.66158,                0.97949,                0.88351,                0.85913,                0.90622,                0.73875,                0.85734,                0.80272,                0.85359,                0.60305,                0.71902,                 1.6654,                0.53253,                0.91778,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     75,                0.83907,                 1.9183,                0.72853,                0.99516,                0.86553,                 0.8679,                0.90609,                0.74387,                0.87646,                0.79243,                0.85148,                0.60197,                0.71848,                  1.659,                0.53185,                0.91665,             9.0333e-05,             9.0333e-05,             9.0333e-05
                     76,                0.82659,                 1.8385,                 0.7028,                 1.0107,                0.86244,                0.86665,                0.90609,                 0.7464,                 0.8786,                  0.789,                0.85096,                0.60618,                0.71745,                 1.6586,                0.53101,                0.91515,              8.994e-05,              8.994e-05,              8.994e-05
                     77,                0.80758,                 1.8745,                0.67069,                 0.9805,                0.91302,                0.83367,                0.90494,                0.75048,                0.89115,                0.78703,                0.85159,                 0.6077,                0.71749,                 1.6554,                0.53433,                0.91469,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     78,                0.82717,                 1.8756,                0.70654,                0.97761,                0.88588,                0.86081,                0.90682,                0.75684,                0.89243,                0.79058,                0.85128,                0.60763,                0.72334,                 1.6565,                0.53569,                 0.9151,             8.9155e-05,             8.9155e-05,             8.9155e-05
                     79,                0.82608,                 1.8552,                0.70947,                0.98868,                0.87496,                0.86829,                0.90772,                0.75442,                0.88577,                 0.7991,                0.85238,                0.60991,                0.71886,                 1.6522,                0.53514,                0.91399,             8.8762e-05,             8.8762e-05,             8.8762e-05
                     80,                0.80576,                  1.823,                0.68413,                0.98838,                0.88755,                0.86143,                 0.9064,                 0.7571,                0.89569,                0.79602,                0.85358,                0.60934,                0.71326,                 1.6475,                0.53244,                0.91266,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     81,                 0.8137,                  1.848,                0.70635,                0.98205,                0.92592,                0.83441,                0.90564,                0.75581,                0.88733,                0.78437,                0.84682,                0.60751,                0.71025,                 1.6442,                0.52976,                0.91227,             8.7977e-05,             8.7977e-05,             8.7977e-05
                     82,                0.79949,                 1.8145,                0.69081,                0.97793,                0.93059,                0.82969,                0.90764,                0.75295,                0.88862,                 0.7781,                0.84654,                0.60112,                0.70841,                 1.6513,                0.52925,                0.91099,             8.7584e-05,             8.7584e-05,             8.7584e-05
                     83,                0.81774,                 1.8449,                0.70045,                0.99572,                 0.9085,                0.84881,                  0.908,                0.75126,                0.88858,                0.78245,                0.84776,                 0.5982,                0.70855,                 1.6461,                0.52997,                 0.9107,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     84,                0.80661,                 1.8738,                0.66082,                0.98833,                0.90408,                 0.8497,                0.90805,                0.75309,                0.89469,                0.78438,                0.85116,                 0.6004,                 0.7089,                 1.6356,                  0.532,                0.91089,             8.6799e-05,             8.6799e-05,             8.6799e-05
                     85,                0.80149,                  1.861,                0.70147,                0.98867,                0.92327,                0.83007,                0.90796,                0.75624,                0.88462,                0.78558,                0.84951,                0.60568,                0.70948,                 1.6305,                0.53363,                0.91076,             8.6406e-05,             8.6406e-05,             8.6406e-05
                     86,                0.79557,                 1.8034,                0.66434,                0.97792,                 0.9238,                0.82847,                0.90963,                 0.7506,                0.88965,                0.78691,                0.85697,                0.61051,                0.70839,                 1.6249,                0.52844,                0.90924,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     87,                0.77214,                 1.7632,                0.68318,                0.97142,                0.91481,                0.83103,                0.91032,                0.74754,                 0.8855,                0.78669,                0.86035,                0.60734,                0.70673,                 1.6195,                0.52294,                0.90767,             8.5621e-05,             8.5621e-05,             8.5621e-05
                     88,                0.81698,                 1.7959,                0.69545,                0.99459,                 0.9312,                0.82174,                0.91022,                0.75674,                0.88322,                0.78948,                0.85972,                0.61024,                0.70002,                 1.6154,                0.51804,                0.90557,             8.5228e-05,             8.5228e-05,             8.5228e-05
                     89,                0.84504,                 1.8502,                0.68648,                0.98772,                0.93122,                0.83541,                0.91278,                0.76234,                0.88856,                0.79551,                 0.8539,                0.60991,                0.69493,                 1.6101,                0.51551,                0.90412,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     90,                0.83692,                 1.8369,                0.70148,                0.98275,                0.93363,                0.83867,                0.91461,                0.76161,                0.88983,                0.79528,                0.85594,                0.60621,                0.69876,                 1.6207,                0.51781,                 0.9051,             8.4442e-05,             8.4442e-05,             8.4442e-05
                     91,                0.78317,                 1.7792,                0.68797,                0.97716,                0.91785,                0.84958,                0.91362,                0.76252,                0.90726,                0.79211,                0.85483,                0.60945,                 0.6914,                 1.6217,                0.51446,                0.90278,              8.405e-05,              8.405e-05,              8.405e-05
                     92,                0.74931,                 1.7419,                0.64798,                0.97385,                0.91509,                0.85058,                0.91115,                0.76356,                 0.9084,                0.78745,                0.85916,                0.61313,                0.68839,                 1.6103,                 0.5087,                0.90018,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     93,                0.76913,                 1.7909,                0.66112,                0.99207,                0.90974,                0.85281,                 0.9134,                0.76348,                0.89617,                0.79199,                 0.8567,                0.61576,                0.69167,                 1.5986,                0.50544,                0.89973,             8.3264e-05,             8.3264e-05,             8.3264e-05
                     94,                0.76887,                 1.8023,                0.66294,                0.95726,                0.89536,                0.86169,                0.91422,                0.76383,                0.89082,                0.79349,                0.85928,                0.61724,                0.68902,                 1.5944,                 0.5049,                0.89892,             8.2872e-05,             8.2872e-05,             8.2872e-05
                     95,                0.71524,                 1.6998,                0.63955,                0.97622,                0.88953,                0.86255,                0.91397,                0.76582,                0.89372,                0.80433,                0.85463,                0.60998,                0.68377,                 1.5959,                0.50224,                0.89778,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     96,                0.78418,                 1.7752,                0.66481,                0.98426,                0.88342,                0.86587,                0.91334,                0.76183,                0.89449,                0.80072,                0.85642,                0.61351,                  0.686,                 1.5989,                0.50712,                0.89915,             8.2086e-05,             8.2086e-05,             8.2086e-05
                     97,                0.76881,                 1.7193,                0.64726,                0.97193,                0.86498,                0.87929,                0.91434,                0.76526,                0.90055,                0.79762,                0.85479,                0.60938,                0.68651,                 1.5958,                0.50882,                 0.8995,             8.1693e-05,             8.1693e-05,             8.1693e-05
                     98,                0.81019,                  1.822,                0.66529,                0.98691,                0.86993,                0.88069,                0.91477,                0.76352,                0.90115,                0.80048,                0.85837,                0.61186,                0.68343,                 1.5857,                0.50721,                0.89881,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     99,                0.74935,                 1.6836,                0.62954,                0.96916,                 0.8819,                0.87422,                0.91518,                0.76458,                0.90331,                0.79718,                0.86169,                0.61943,                0.67991,                 1.5828,                 0.5039,                0.89823,             8.0908e-05,             8.0908e-05,             8.0908e-05
                    100,                0.82536,                 1.8847,                0.68285,                0.98878,                0.88576,                0.87177,                0.91465,                0.76748,                0.88644,                0.81549,                0.86424,                0.62342,                0.67785,                 1.5779,                0.50215,                 0.8984,             8.0515e-05,             8.0515e-05,             8.0515e-05
                    101,                0.80909,                 1.8107,                0.69018,                 0.9949,                0.87686,                0.87107,                 0.9146,                 0.7695,                0.89118,                0.81567,                0.86483,                0.61702,                0.67605,                 1.5803,                 0.5001,                0.89806,             8.0123e-05,             8.0123e-05,             8.0123e-05
                    102,                 0.7876,                 1.7187,                0.67545,                0.97034,                0.87479,                0.86798,                0.91369,                0.76813,                0.90116,                 0.8079,                0.86235,                 0.6158,                 0.6739,                   1.58,                0.49885,                0.89824,              7.973e-05,              7.973e-05,              7.973e-05
                    103,                0.76154,                 1.7317,                0.64578,                0.96537,                0.89193,                0.86781,                0.91503,                0.77288,                0.90729,                0.80822,                 0.8719,                0.62196,                0.67211,                 1.5762,                0.49618,                0.89815,             7.9337e-05,             7.9337e-05,             7.9337e-05
                    104,                0.74811,                  1.721,                0.65352,                0.97266,                0.91716,                 0.8534,                0.91656,                0.77228,                0.89393,                0.80946,                0.87845,                0.62438,                0.67128,                 1.5708,                0.49503,                  0.898,             7.8945e-05,             7.8945e-05,             7.8945e-05
